Epoch,Avg_Train_lossA,Avg_Train_lossB,TestLossA,TestLossB
1,0.21865797,0.22014302,0.10799726843833923,0.10850086808204651
2,0.18243127,0.18325835,0.09229087084531784,0.0945911854505539
3,0.18062147,0.17827125,0.11714429408311844,0.10422264039516449
4,0.1789402,0.17803039,0.12562553584575653,0.12377595901489258
5,0.1772282,0.17741695,0.09811411798000336,0.10097308456897736
6,0.17649116,0.1765164,0.10249529033899307,0.10458333045244217
7,0.17757371,0.1757173,0.09971629083156586,0.10151585191488266
8,0.17531124,0.17673284,0.10043873637914658,0.09994252771139145
9,0.17581238,0.17453517,0.1011151522397995,0.10292597115039825
10,0.17425299,0.17467007,0.10089033842086792,0.09693743288516998
11,0.17562602,0.17391005,0.0968593880534172,0.09815894067287445
12,0.17489305,0.17440002,0.09783388674259186,0.09819479286670685
13,0.17378692,0.1738198,0.09925705939531326,0.09963703155517578
14,0.1732193,0.17413674,0.10187534242868423,0.1009349599480629
15,0.17293596,0.17485331,0.09797573834657669,0.09855077415704727
16,0.1712609,0.17325513,0.0974452868103981,0.09721386432647705
17,0.17175695,0.1737192,0.09964438527822495,0.10043702274560928
18,0.17349967,0.17542876,0.10015526413917542,0.1008472889661789
19,0.17408237,0.17404945,0.09945023059844971,0.10080692172050476
20,0.17342272,0.17185715,0.10149182379245758,0.10220690816640854
21,0.17155273,0.1727071,0.09954453259706497,0.10004591941833496
22,0.17376883,0.17301941,0.09914208203554153,0.10064524412155151
23,0.17439614,0.17420512,0.10322857648134232,0.10194481164216995
24,0.17269328,0.17254792,0.09910517185926437,0.10119719803333282
25,0.17474562,0.17305072,0.10040450096130371,0.1009795218706131
