Epoch,Avg_Train_lossA,Avg_Train_lossB,TestLossA,TestLossB
1,0.2919551,0.2910383,0.059184808284044266,0.059518929570913315
2,0.26994866,0.27124926,0.061222903430461884,0.062298133969306946
3,0.25273383,0.2531042,0.062591053545475,0.06356284022331238
4,0.23839225,0.24045916,0.06426583975553513,0.06636740267276764
5,0.22706097,0.22946073,0.06240629777312279,0.0640341192483902
6,0.21974921,0.21999058,0.06688565760850906,0.06646031141281128
7,0.21181415,0.21346328,0.06606774777173996,0.06664857268333435
8,0.20563753,0.20803733,0.06996740400791168,0.07258384674787521
9,0.20085837,0.20279537,0.07295197248458862,0.07452262192964554
10,0.19615448,0.19811884,0.07612403482198715,0.0761306881904602
11,0.19237043,0.19453992,0.07448126375675201,0.07543502002954483
12,0.18971264,0.1910906,0.08146410435438156,0.08143105357885361
13,0.18935952,0.1890598,0.08017939329147339,0.08105812221765518
14,0.18628272,0.18821636,0.08463498204946518,0.08623533695936203
15,0.18424615,0.1842213,0.0839637741446495,0.08376748859882355
16,0.18144278,0.18483861,0.08181913942098618,0.08274676650762558
17,0.1821153,0.1825323,0.08540713042020798,0.08496582508087158
18,0.17969233,0.18244793,0.08709590882062912,0.084775410592556
19,0.17969112,0.17907517,0.08541745692491531,0.08904373645782471
20,0.17802012,0.17890936,0.08979758620262146,0.09065447002649307
21,0.17702529,0.17681892,0.08744564652442932,0.08609543740749359
22,0.17655908,0.1758392,0.09087599813938141,0.08849917352199554
23,0.17735985,0.17611149,0.08704208582639694,0.08651479333639145
24,0.17514783,0.17519158,0.09116509556770325,0.08932501077651978
25,0.17441313,0.17728922,0.0939192995429039,0.09345251321792603
