Epoch,Avg_Train_lossA,Avg_Train_lossB,TestLossA,TestLossB
1,0.24217255,0.24397098,0.08912508189678192,0.09026598185300827
2,0.19365382,0.19433671,0.09991121292114258,0.10242116451263428
3,0.18239886,0.18601619,0.11526394635438919,0.11355871707201004
4,0.1816924,0.18361484,0.12752024829387665,0.11166912317276001
5,0.18073638,0.18087837,0.09161125868558884,0.10043184459209442
6,0.17793654,0.17993394,0.10594572871923447,0.10485579073429108
7,0.17625351,0.17728835,0.1051655113697052,0.10501206666231155
8,0.1747988,0.17641824,0.09807515889406204,0.09986130893230438
9,0.1761702,0.17486581,0.09865832328796387,0.09771893918514252
10,0.17506838,0.17400678,0.09898989647626877,0.09940212219953537
11,0.17427765,0.1775848,0.09652387350797653,0.0951949805021286
12,0.17487666,0.17405227,0.10115468502044678,0.10236965864896774
13,0.1732798,0.17388386,0.09795647114515305,0.1001315489411354
14,0.17322905,0.17604059,0.10060787200927734,0.10311789065599442
15,0.17350288,0.17363712,0.09672980010509491,0.10049170255661011
16,0.1729613,0.1736438,0.10636589676141739,0.10269539803266525
17,0.17419873,0.17423151,0.10090859234333038,0.09753277897834778
18,0.17183885,0.1730716,0.09904779493808746,0.09489656984806061
19,0.17415485,0.17261809,0.0896378606557846,0.09589800983667374
20,0.17179921,0.17368457,0.09553918242454529,0.09624384343624115
21,0.17086469,0.17331815,0.09859272837638855,0.10217472165822983
22,0.172092,0.17177916,0.09884709119796753,0.09979026019573212
23,0.17128277,0.17211108,0.0973033756017685,0.09767313301563263
24,0.17341764,0.17451128,0.09485883265733719,0.09455791115760803
25,0.17328061,0.17400149,0.09555896371603012,0.09956875443458557
