Epoch,Avg_Train_lossA,Avg_Train_lossB,TestLossA,TestLossB
1,0.23962812,0.24267492,0.09120794385671616,0.09209147095680237
2,0.19691606,0.1948208,0.10914884507656097,0.10917644202709198
3,0.18438354,0.18472572,0.10755728930234909,0.10626781731843948
4,0.18307883,0.18209463,0.10866507887840271,0.12036439031362534
5,0.18189736,0.18108839,0.11268490552902222,0.11140024662017822
6,0.17865443,0.17785844,0.1109648048877716,0.10649683326482773
7,0.17426865,0.17637043,0.11040063202381134,0.10857091844081879
8,0.17597751,0.176732,0.10658632218837738,0.10536885261535645
9,0.17594622,0.17670377,0.10421586036682129,0.10350121557712555
10,0.17618409,0.17541802,0.10675745457410812,0.10406142473220825
11,0.17522351,0.17433068,0.10111590474843979,0.10156603902578354
12,0.17576447,0.1735575,0.10105577111244202,0.10102541744709015
13,0.17372952,0.17510723,0.10047012567520142,0.09973178058862686
14,0.17464194,0.17224418,0.1023111343383789,0.10134297609329224
15,0.17400874,0.17541142,0.10241053253412247,0.10112752765417099
16,0.17304316,0.17571503,0.1022912859916687,0.10147075355052948
17,0.17459969,0.17332938,0.1021929606795311,0.10164716094732285
18,0.17510939,0.17605722,0.10482806712388992,0.10364994406700134
19,0.17416573,0.17568684,0.1007349044084549,0.099463552236557
20,0.17541912,0.17416735,0.1014196053147316,0.10113031417131424
21,0.17612481,0.17432375,0.10439517349004745,0.10334154963493347
22,0.17478059,0.17432292,0.10155370086431503,0.10100863873958588
23,0.17448795,0.17355204,0.102086141705513,0.10040508955717087
24,0.17486769,0.17303494,0.10207762569189072,0.10269705951213837
25,0.17698151,0.17607498,0.10397789627313614,0.10289786756038666
